"index","market","product_name","num_returns"
"392","EU","Fellowes Trays, Blue","2"
"393","United States","Sauder Camden County Collection Libraries, Planked Cherry Finish","2"
"394","EU","Cardinal Binding Machine, Clear","2"
"395","EU","Tenex Box, Wire Frame","2"
"396","LATAM","Stanley Canvas, Easy-Erase","2"
"397","APAC","SAFCO Steel Folding Chair, Black","2"
"398","LATAM","Green Bar Parchment Paper, 8.5 x 11","2"
"399","LATAM","Hamilton Beach Refrigerator, White","2"
"400","LATAM","Tenex Shelving, Single Width","2"
"401","LATAM","Sanford Pencil Sharpener, Water Color","2"
"402","APAC","Hon File Folder Labels, Alphabetical","2"
"403","LATAM","SanDisk Keyboard, Programmable","2"
"404","EU","Tenex Trays, Blue","2"
"405","APAC","Brother Copy Machine, Laser","2"
"406","APAC","Fiskars Trimmer, Easy Grip","2"
"407","APAC","SAFCO Rocking Chair, Black","2"
"408","LATAM","Harbour Creations Shipping Labels, Laser Printer Compatible","2"
"409","APAC","SanDisk Note Cards, Premium","2"
"410","United States","GBC Durable Plastic Covers","2"
"411","EU","Samsung Audio Dock, Cordless","2"
"412","EU","Safco Corner Shelving, Metal","2"
"413","LATAM","Novimex Shipping Labels, Adjustable","2"
"414","APAC","Elite Ruler, Easy Grip","2"
"415","United States","Advantus SlideClip Paper Clips","2"
"416","LATAM","Stockwell Rubber Bands, Metal","2"
"417","APAC","Kraft Manila Envelope, Recycled","2"
"418","EU","KitchenAid Stove, Silver","2"
"419","United States","Acco Six-Outlet Power Strip, 4' Cord Length","2"
"420","APAC","Stockwell Push Pins, Assorted Sizes","2"
"421","APAC","Elite Shears, Steel","2"
"422","EU","Smead File Cart, Blue","2"
"423","LATAM","Xerox Message Books, Recycled","2"
"424","EU","Boston Canvas, Blue","2"
"425","LATAM","Accos Staples, Assorted Sizes","2"
"426","APAC","Rogers Lockers, Blue","2"
"427","APAC","GlobeWeis Manila Envelope, Set of 50","2"
"428","LATAM","Rogers File Cart, Industrial","2"
"429","LATAM","Hon Rocking Chair, Set of Two","2"
"430","LATAM","Stockwell Thumb Tacks, Metal","2"
"431","LATAM","Green Bar Computer Printout Paper, Premium","2"
"432","United States","Premier Electric Letter Opener","2"
"433","United States","Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4","2"
"434","LATAM","Acme Ruler, High Speed","2"
"435","APAC","Rubbermaid Photo Frame, Durable","2"
"436","EU","SanDisk Cards & Envelopes, Recycled","2"
"437","APAC","Hamilton Beach Toaster, Red","2"
"438","United States","Jabra SPEAK 410","2"
"439","United States","Avery Hanging File Binders","2"
"440","LATAM","Smead Box, Blue","2"
"441","EU","Jiffy Business Envelopes, Security-Tint","2"
"442","United States","O'Sullivan Living Dimensions 2-Shelf Bookcases","2"
"443","APAC","SanDisk Numeric Keypad, USB","2"
"444","LATAM","Stockwell Paper Clips, Metal","2"
"445","United States","Motorola Signal Booster, Full Size","2"
"446","LATAM","Office Star Swivel Stool, Black","2"
"447","United States","Carina Double Wide Media Storage Towers in Natural & Black","2"
"448","United States","Executive Impressions 14"" Contract Wall Clock","2"
"449","EU","Sharp Fax Machine, Digital","2"
"450","United States","Logitech Wireless Performance Mouse MX for PC and Mac","2"
"451","APAC","Hon Bag Chairs, Set of Two","2"
"452","United States","Cisco Unified IP Phone 7945G VoIP phone","2"
"453","APAC","Harbour Creations Legal Exhibit Labels, Adjustable","2"
"454","APAC","Tenex Frame, Black","2"
"455","United States","Cardinal 3-Hole Punch, Clear","2"
"456","United States","Pyle PMP37LED","2"
"457","LATAM","Cameo Business Envelopes, Set of 50","2"
"458","APAC","SAFCO Bag Chairs, Set of Two","2"
"459","APAC","Eldon Frame, Black","2"
"460","LATAM","Binney & Smith Pencil Sharpener, Water Color","2"
"461","APAC","Tenex Box, Blue","2"
"462","EU","Avery Round Labels, Laser Printer Compatible","2"
"463","APAC","Rogers File Cart, Single Width","2"
"464","United States","Avery 505","2"
"465","LATAM","Wilson Jones Binding Machine, Durable","2"
"466","United States","Recycled Easel Ring Binders","2"
"467","EU","Bush Classic Bookcase, Traditional","2"
"468","United States","Hamilton Beach Microwave, Silver","2"
"469","United States","Akro Stacking Bins","2"
"470","EU","Fellowes Lockers, Industrial","2"
"471","United States","Ibico Laser Imprintable Binding System Covers","2"
"472","APAC","Motorola Smart Phone, Cordless","2"
"473","LATAM","Avery Shipping Labels, 5000 Label Set","2"
"474","United States","Plastic Binding Combs","2"
"475","United States","Tuf-Vin Binders","2"
"476","EU","Kraft Mailers, Set of 50","2"
"477","United States","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges","2"
"478","EU","Fellowes Folders, Blue","2"
"479","United States","Ibico Presentation Index for Binding Systems","2"
"480","EU","Accos Clamps, Metal","2"
"481","United States","Newell 317","2"
"482","LATAM","Fellowes Box, Blue","2"
"483","EU","Stanley Canvas, Water Color","2"
"484","LATAM","Acco Binder, Recycled","2"
"485","LATAM","Office Star Swivel Stool, Adjustable","2"
"486","APAC","Deflect-O Clock, Erganomic","2"
"487","APAC","Rubbermaid Door Stop, Erganomic","2"
"488","APAC","Wilson Jones Binder Covers, Economy","2"
"489","United States","GBC Premium Transparent Covers with Diagonal Lined Pattern","2"
"490","LATAM","Rubbermaid Stacking Tray, Durable","1"
"491","United States","Fellowes Twister Kit, Gray/Clear, 3/pkg","1"
"492","United States","White Computer Printout Paper by Universal","1"
"493","APAC","Rubbermaid Door Stop, Duo Pack","1"
"494","EU","Bush 3-Shelf Cabinet, Traditional","1"
"495","EU","Elite Trimmer, High Speed","1"
"496","United States","Logitech K350 2.4Ghz Wireless Keyboard","1"
"497","EU","Epson Card Printer, White","1"
"498","LATAM","Hon File Folder Labels, 5000 Label Set","1"
"499","United States","QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3","1"
"500","APAC","Jiffy Manila Envelope, Set of 50","1"
"501","APAC","Barricks Wood Table, Rectangular","1"
"502","LATAM","SanDisk Memo Slips, Recycled","1"
"503","LATAM","HP Wireless Fax, High-Speed","1"
"504","LATAM","Smead Trays, Wire Frame","1"
"505","LATAM","Logitech Mouse, Bluetooth","1"
"506","United States","Electrix Fluorescent Magnifier Lamps & Weighted Base","1"
"507","EU","Sauder Floating Shelf Set, Metal","1"
"508","EU","Sharp Personal Copier, Digital","1"
"509","APAC","SAFCO Swivel Stool, Set of Two","1"
"510","APAC","Wilson Jones Hole Reinforcements, Economy","1"
"511","LATAM","Rubbermaid Photo Frame, Black","1"
"512","LATAM","Cameo Manila Envelope, Recycled","1"
"513","EU","Binney & Smith Canvas, Fluorescent","1"
