"index","product_name","avg_discount","total_profit","profit_status"
"95","Wilson Jones Hanging Recycled Pressboard Data Binders","0.45","1.7808","Profit"
"96","Pressboard Hanging Data Binders for Unburst Sheets","0.44","-10.1352","Loss"
"97","Aluminum Screw Posts","0.4363636364","41.202","Profit"
"98","Barricks Coffee Table, Rectangular","0.435","-1426.875","Loss"
"99","Chromcraft Round Table, Fully Assembled","0.4333333333","-1823.079","Loss"
"100","Hon Training Table, Rectangular","0.4333333333","-94.718","Loss"
"101","Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders","0.4333333333","3.656","Profit"
"102","Fellowes Twister Kit, Gray/Clear, 3/pkg","0.43","-3.216","Loss"
"103","GBC Personal VeloBind Strips","0.4285714286","-11.2612","Loss"
"104","StarTech.com 10/100 VDSL2 Ethernet Extender Kit","0.425","-785.762","Loss"
"105","GBC Standard Plastic Binding Systems' Combs","0.425","5.024","Profit"
"106","Wilson Jones Four-Pocket Poly Binders","0.425","5.4282","Profit"
"107","Avery Flip-Chart Easel Binder, Black","0.425","37.8222","Profit"
"108","Self-Adhesive Ring Binder Labels","0.425","2.3584","Profit"
"109","Storex Dura Pro Binders","0.4235294118","50.5494","Profit"
"110","Wilson Jones Legal Size Ring Binders","0.4222222222","48.378","Profit"
"111","O'Sullivan 4-Shelf Bookcase in Odessa Pine","0.4214285714","-975.0988","Loss"
"112","Vinyl Sectional Post Binders","0.4181818182","147.03","Profit"
"113","Barricks Round Table, Adjustable Height","0.4166666667","-1880.675","Loss"
"114","GBC Velobind Prepunched Cover Sets, Regency Series","0.4142857143","-9.245","Loss"
"115","Clear Mylar Reinforcing Strips","0.4142857143","90.2727","Profit"
"116","Bevis Wood Table, Fully Assembled","0.414","-171.3312","Loss"
"117","Fellowes Black Plastic Comb Bindings","0.4111111111","-4.4156","Loss"
"118","Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl","0.41","5.3878","Profit"
"119","Sauder Barrister Bookcases","0.4066666667","-294.7672","Loss"
"120","Acco 6 Outlet Guardian Premium Plus Surge Suppressor","0.4","-113.7672","Loss"
"121","Chromcraft Computer Table, Fully Assembled","0.4","376.61","Profit"
"122","NeatDesk Desktop Scanner & Digital Filing System","0.4","55.9986","Profit"
"123","Xerox WorkCentre 6505DN Laser Multifunction Printer","0.4","-251.9958","Loss"
"124","Acco 6 Outlet Guardian Basic Surge Suppressor","0.4","-3.6608","Loss"
"125","PNY Rapid USB Car Charger - Black","0.4","-2.0774","Loss"
"126","Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter","0.4","10.188","Profit"
"127","Fellowes Presentation Covers for Comb Binding Machines","0.4","21.825","Profit"
"128","Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock","0.4","147.9372","Profit"
"129","Hon Training Table, with Bottom Storage","0.4","292.68","Profit"
"130","Kensington 6 Outlet SmartSocket Surge Protector","0.4","-36.882","Loss"
"131","Okidata C610n Printer","0.4","-292.05","Loss"
"132","Electrix Incandescent Magnifying Lamp, Black","0.4","-16.4925","Loss"
"133","GBC Recycled Grain Textured Covers","0.4","107.074","Profit"
"134","GBC Therma-A-Bind 250T Electric Binding System","0.4","406.9744","Profit"
"135","Belkin F9S820V06 8 Outlet Surge","0.4","-120.176","Loss"
"136","Canon PC170 Desktop Personal Copier","0.4","67.179","Profit"
"137","Wilson Jones data.warehouse D-Ring Binders with DublLock","0.4","15.3078","Profit"
"138","Enermax Message Books, 8.5 x 11","0.4","-70.416","Loss"
"139","Executive Impressions 14"" Contract Wall Clock with Quartz Movement","0.4","-1.7784","Loss"
"140","Hon Coffee Table, Fully Assembled","0.4","-409.518","Loss"
"141","Hewlett-Packard Deskjet 5550 Printer","0.4","49.761","Profit"
"142","Hewlett-Packard Deskjet 6540 Color Inkjet Printer","0.4","139.621","Profit"
"143","Wasp CCD Handheld Bar Code Reader","0.4","44.868","Profit"
"144","Lexmark MX611dhe Monochrome Laser Printer","0.4","-4589.973","Loss"
"145","Ibico Recycled Grain-Textured Covers","0.4","3.454","Profit"
"146","GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack","0.4","3.141","Profit"
"147","Catalog Binders with Expanding Posts","0.4","-246.288","Loss"
"148","GBC Premium Transparent Covers with Diagonal Lined Pattern","0.4","49.5128","Profit"
"149","Chromcraft Conference Table, Adjustable Height","0.4","90.2","Profit"
"150","Peel & Stick Add-On Corner Pockets","0.4","4.32","Profit"
"151","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","0.4","15.0969","Profit"
"152","Hon Conference Table, Rectangular","0.395","-1920.8505","Loss"
"153","Barricks Training Table, Fully Assembled","0.3916666667","-681.2265","Loss"
"154","Chromcraft Round Table, with Bottom Storage","0.39","186.615","Profit"
"155","Chromcraft Wood Table, Rectangular","0.39","-665.7544","Loss"
"156","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","0.3888888889","-2.283","Loss"
"157","Recycled Easel Ring Binders","0.3888888889","21.634","Profit"
"158","Wilson Jones Impact Binders","0.3888888889","23.7244","Profit"
"159","SpineVue Locking Slant-D Ring Binders by Cardinal","0.3875","6.0324","Profit"
"160","3M Organizer Strips","0.3857142857","10.152","Profit"
"161","Wilson Jones Easy Flow II Sheet Lifters","0.3833333333","5.616","Profit"
"162","Avery 3 1/2"" Diskette Storage Pages, 10/Pack","0.3833333333","-14.4072","Loss"
"163","Flexible Leather- Look Classic Collection Ring Binder","0.3833333333","18.94","Profit"
"164","Balt Split Level Computer Training Table","0.38","-357.975","Loss"
"165","Barricks Wood Table, Adjustable Height","0.38","385.59","Profit"
"166","Lesro Training Table, Adjustable Height","0.3775","-1622.9552","Loss"
"167","Lesro Conference Table, Rectangular","0.3771428571","70.28","Profit"
"168","Zipper Ring Binder Pockets","0.3769230769","11.7312","Profit"
"169","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","0.375","13.644","Profit"
"170","Prestige Round Ring Binders","0.375","18.0576","Profit"
"171","Bevis Coffee Table, Fully Assembled","0.375","-361.0645","Loss"
"172","Bevis Round Table, Adjustable Height","0.375","-2869.252","Loss"
"173","Satellite Sectional Post Binders","0.3727272727","329.0478","Profit"
"174","GBC Wire Binding Combs","0.3714285714","41.5668","Profit"
"175","Wilson Jones International Size A4 Ring Binders","0.3714285714","12.802","Profit"
"176","Poly Designer Cover & Back","0.3714285714","106.344","Profit"
"177","Wilson Jones Century Plastic Molded Ring Binders","0.37","55.2482","Profit"
"178","BPI Conference Tables","0.37","-795.9725","Loss"
"179","GBC Twin Loop Wire Binding Elements","0.37","259.584","Profit"
"180","Barricks Coffee Table, Adjustable Height","0.3669230769","-1305.1648","Loss"
"181","Riverside Furniture Stanwyck Manor Table Series","0.3666666667","-415.9325","Loss"
"182","Lesro Computer Table, with Bottom Storage","0.3666666667","86.028","Profit"
"183","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","0.3666666667","215.5548","Profit"
"184","Avery Durable Slant Ring Binders, No Labels","0.3666666667","13.6116","Profit"
"185","Hon Round Table, Fully Assembled","0.3666666667","-414.032","Loss"
"186","Ibico Recycled Linen-Style Covers","0.3642857143","349.6332","Profit"
"187","GBC Imprintable Covers","0.3625","39.9672","Profit"
"188","Performers Binder/Pad Holder, Black","0.3625","106.514","Profit"
"189","Chromcraft Coffee Table, Rectangular","0.3625","-238.323","Loss"
"190","Ibico Laser Imprintable Binding System Covers","0.3625","138.336","Profit"
"191","Recycled Pressboard Report Cover with Reinforced Top Hinge","0.3625","13.7598","Profit"
"192","Ibico Plastic and Wire Spiral Binding Combs","0.3555555556","21.5808","Profit"
"193","Bevis Computer Table, Fully Assembled","0.3530769231","-3509.5638","Loss"
"194","Barricks Training Table, Rectangular","0.3522222222","-632.0718","Loss"
"195","GBC Laser Imprintable Binding System Covers, Desert Sand","0.35","18.4083","Profit"
"196","Wilson Jones Leather-Like Binders with DublLock Round Rings","0.35","25.4916","Profit"
"197","Breville Toaster, White","0.35","16.425","Profit"
"198","Chromcraft Wood Table, with Bottom Storage","0.35","-310.648","Loss"
"199","Wilson Jones DublLock D-Ring Binders","0.35","15.525","Profit"
"200","GBC Durable Plastic Covers","0.35","14.319","Profit"
"201","Lesro Conference Table, Adjustable Height","0.35","936.867","Profit"
"202","Bevis Coffee Table, with Bottom Storage","0.35","-394.572","Loss"
"203","DAX Wood Document Frame.","0.35","7.6888","Profit"
"204","Presstex Flexible Ring Binders","0.35","24.57","Profit"
"205","Cisco 9971 IP Video Phone Charcoal","0.35","466.4","Profit"
"206","Barricks Round Table, Rectangular","0.35","-623.94","Loss"
"207","3D Systems Cube Printer, 2nd Generation, White","0.35","-467.9964","Loss"
"208","Panasonic KX MC6040 Color Laser Multifunction Printer","0.35","-22.4975","Loss"
"209","Acco Expandable Hanging Binders","0.35","1.0208","Profit"
"210","Contemporary Wood/Metal Frame","0.35","4.848","Profit"
"211","GBC Recycled VeloBinder Covers","0.35","100.8768","Profit"
"212","Barricks Conference Table, Rectangular","0.35","-2487.9675","Loss"
"213","StarTech Card Printer, Wireless","0.3490909091","-128.13","Loss"
"214","Hon Conference Table, Adjustable Height","0.347","-1570.5658","Loss"
"215","KitchenAid Refrigerator, Red","0.345","-1087.901","Loss"
"216","Avery Premier Heavy-Duty Binder with Round Locking Rings","0.3428571429","29.4168","Profit"
"217","Dana Swing-Arm Lamps","0.3428571429","-11.214","Loss"
"218","GBC DocuBind P50 Personal Binding Machine","0.34","569.422","Profit"
"219","Lesro Wood Table, Adjustable Height","0.34","-711.044","Loss"
"220","Lesro Computer Table, Fully Assembled","0.3384615385","-2842.779","Loss"
"221","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","0.3375","125.7838","Profit"
"222","Chromcraft Training Table, Fully Assembled","0.335","-70.4544","Loss"
"223","Hon 30"" x 60"" Table with Locking Drawer","0.3333333333","-177.3512","Loss"
"224","Bevis Traditional Conference Table Top, Plinth Base","0.3333333333","-456.7032","Loss"
"225","Ibico EPK-21 Electric Binding System","0.3333333333","3345.2823","Profit"
"226","Clearsounds A400","0.3333333333","-48.8326","Loss"
"227","Eureka Sanitaire  Commercial Upright","0.3333333333","53.0272","Profit"
"228","Novimex Bag Chairs, Black","0.3333333333","21.8","Profit"
"229","Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables","0.3333333333","-611.5878","Loss"
"230","LG Exalt","0.3333333333","-212.1464","Loss"
"231","Avery Durable Binders","0.3333333333","13.824","Profit"
"232","Lesro Round Table, with Bottom Storage","0.3333333333","-33.279","Loss"
"233","O'Sullivan Plantations 2-Door Library in Landvery Oak","0.332","-767.7436","Loss"
"234","Ibico Plastic Spiral Binding Combs","0.3307692308","328.928","Profit"
"235","Ibico Standard Transparent Covers","0.33","104.8128","Profit"
"236","Angle-D Binders with Locking Rings, Label Holders","0.33","35.332","Profit"
"237","Okidata Printer, Durable","0.3290909091","-626.0662","Loss"
"238","Acco Hanging Data Binders","0.3285714286","8.2296","Profit"
"239","Deluxe Heavy-Duty Vinyl Round Ring Binder","0.3285714286","88.242","Profit"
"240","Avery Durable Plastic 1"" Binders","0.3285714286","37.5004","Profit"
"241","Tenex Door Stop, Durable","0.328","-521.9152","Loss"
"242","Chromcraft Round Table, Adjustable Height","0.3275","-951.2378","Loss"
"243","GBC DocuBind 200 Manual Binding Machine","0.325","1052.45","Profit"
"244","Avery Legal 4-Ring Binder","0.325","90.214","Profit"
"245","Hon Rectangular Conference Tables","0.325","-295.815","Loss"
"246","Pressboard Data Binders by Wilson Jones","0.325","22.9086","Profit"
"247","KI Conference Tables","0.325","-479.2164","Loss"
"248","Bevis Conference Table, Fully Assembled","0.3246666667","-4377.4869","Loss"
"249","Chromcraft Training Table, with Bottom Storage","0.3233333333","-536.8416","Loss"
"250","Barricks Training Table, with Bottom Storage","0.3233333333","-670.717","Loss"
"251","Fellowes PB200 Plastic Comb Binding Machine","0.3222222222","693.5592","Profit"
"252","Chromcraft Rectangular Conference Tables","0.3222222222","-450.243","Loss"
"253","Hon Computer Table, Fully Assembled","0.3214285714","203.2955","Profit"
"254","Epson Calculator, Durable","0.3214285714","-66.8415","Loss"
"255","Epson Calculator, Wireless","0.32","431.059","Profit"
"256","Motorola Moto X","0.32","-44.0442","Loss"
"257","Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf","0.32","-104.832","Loss"
"258","Bevis Wood Table, with Bottom Storage","0.32","-2782.588","Loss"
"259","Barricks Wood Table, with Bottom Storage","0.3175","135.9189","Profit"
"260","Bevis Computer Table, with Bottom Storage","0.3166666667","-159.066","Loss"
"261","Bevis Boat-Shaped Conference Table","0.3166666667","-445.587","Loss"
"262","Chromcraft 48"" x 96"" Racetrack Double Pedestal Table","0.3166666667","-404.0064","Loss"
"263","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","0.31625","15.049","Profit"
"264","Bestar Classic Bookcase","0.315","-612.9387","Loss"
"265","Acco Translucent Poly Ring Binders","0.3125","16.2864","Profit"
"266","Bevis Training Table, Adjustable Height","0.3116666667","-316.1606","Loss"
"267","Bevis Training Table, Fully Assembled","0.3116666667","-998.5095","Loss"
"268","Hon 61000 Series Interactive Training Tables","0.3111111111","-148.3962","Loss"
"269","Barricks Conference Table, Adjustable Height","0.31","-1924.852","Loss"
"270","Ames Interoffice Envelope, Set of 50","0.31","67.57","Profit"
"271","StarTech Phone, Durable","0.3071428571","-495.858","Loss"
"272","Panasonic Card Printer, White","0.3038461538","-709.6425","Loss"
"273","Barricks Computer Table, Fully Assembled","0.301","-2051.0242","Loss"
"274","Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum","0.3","0.444","Profit"
"275","Flat Face Poster Frame","0.3","120.9528","Profit"
"276","Trimflex Flexible Post Binders","0.3","112.8864","Profit"
"277","Economy Binders","0.3","9.7968","Profit"
"278","Eldon ""L"" Workstation Diamond Chairmat","0.3","-267.4496","Loss"
"279","Bush Andora Conference Table, Maple/Graphite Gray Finish","0.3","-143.6232","Loss"
"280","OtterBox Defender Series Case - iPhone 5c","0.3","3.698","Profit"
"281","Anker 24W Portable Micro USB Car Charger","0.3","14.0672","Profit"
"282","Anderson Hickey Conga Table Tops & Accessories","0.3","-17.5145","Loss"
"283","Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors","0.3","-7.0416","Loss"
"284","Bevis Conference Table, Rectangular","0.3","1037.92","Profit"
"285","Eldon Cleatmat Chair Mats for Medium Pile Carpets","0.3","-42.18","Loss"
"286","Zebra GX420t Direct Thermal/Thermal Transfer Printer","0.3","509.712","Profit"
"287","Wilson Jones Active Use Binders","0.3","37.0552","Profit"
"288","XtraLife ClearVue Slant-D Ring Binder, White, 3""","0.3","76.9232","Profit"
"289","Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""","0.3","-46.404","Loss"
"290","DYMO CardScan Personal V9 Business Card Scanner","0.3","463.971","Profit"
"291","Contemporary Borderless Frame","0.3","3.6162","Profit"
"292","Speck Products Candyshell Flip Case","0.3","-18.1948","Loss"
"293","Avery Metallic Poly Binders","0.3","43.4334","Profit"
"294","Hoover Portapower Portable Vacuum","0.3","1.344","Profit"
"295","Hon Conference Table, Fully Assembled","0.3","-83.07","Loss"
"296","Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner","0.3","43.1991","Profit"
"297","Hon Wood Table, with Bottom Storage","0.3","-1078.714","Loss"
"298","Telescoping Adjustable Floor Lamp","0.3","-5.997","Loss"
"299","Avery Round Ring Poly Binders","0.3","12.2972","Profit"
"300","Tenex Chairmat w/ Average Lip, 45"" x 53""","0.3","-529.76","Loss"
"301","Bevis Wood Table, Adjustable Height","0.3","542.84","Profit"
"302","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges","0.3","157.9584","Profit"
"303","Avaya 5410 Digital phone","0.3","-10.8784","Loss"
"304","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","0.3","-7.616","Loss"
"305","Deflect-O Clock, Black","0.3","-739.838","Loss"
"306","Chromcraft Wood Table, Adjustable Height","0.3","872.202","Profit"
"307","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue","0.3","13.1826","Profit"
"308","Ricoh - Ink Collector Unit for GX3000 Series Printers","0.3","36.916","Profit"
"309","Nu-Dell EZ-Mount Plastic Wall Frames","0.3","0.788","Profit"
"310","GBC DocuBind TL300 Electric Binding System","0.3","2233.5051","Profit"
"311","Fiskars Ruler, Steel","0.3","-17.914","Loss"
"312","Executive Impressions 16-1/2"" Circular Wall Clock","0.3","-1.0688","Loss"
"313","Eldon 100 Class Desk Accessories","0.3","-4.8528","Loss"
"314","Hon Wood Table, Fully Assembled","0.295","823.938","Profit"
"315","Hon Coffee Table, with Bottom Storage","0.2928571429","-784.835","Loss"
"316","Kraft Manila Envelope, Recycled","0.2927272727","-16.7871","Loss"
"317","Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""","0.29","111.2868","Profit"
"318","Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity","0.29","64.1445","Profit"
"319","Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear","0.2888888889","50.228","Profit"
"320","Smead Removable Labels, 5000 Label Set","0.2878571429","37.325","Profit"
"321","Lesro Round Back Collection Coffee Table, End Table","0.2875","-328.59","Loss"
"322","Elite Scissors, High Speed","0.2857142857","56.667","Profit"
"323","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","0.2857142857","401.214","Profit"
"324","Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""","0.2857142857","90.7452","Profit"
"325","Konica Printer, Red","0.2855555556","200.8752","Profit"
"326","Advantus Clamps, Metal","0.285","91.8159","Profit"
"327","Tenex Photo Frame, Durable","0.285","132.2217","Profit"
"328","Hon Racetrack Conference Tables","0.2833333333","-598.5228","Loss"
"329","Motorola Office Telephone, Cordless","0.2833333333","-546.666","Loss"
"330","Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","0.2833333333","-1165.58","Loss"
"331","Barricks Round Table, with Bottom Storage","0.2833333333","-1715.3325","Loss"
"332","Sauder Forest Hills Library with Doors, Woodland Oak Finish","0.2833333333","-418.548","Loss"
"333","Samsung Signal Booster, with Caller ID","0.2814285714","-349.8628","Loss"
"334","Cisco Office Telephone, VoIP","0.2807692308","472.0425","Profit"
"335","Fellowes Binding Cases","0.28","71.955","Profit"
"336","SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","0.28","608.043","Profit"
"337","Tenex Clock, Durable","0.28","164.988","Profit"
"338","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","0.28","-2876.1156","Loss"
"339","Contract Clock, 14"", Brown","0.28","29.4532","Profit"
"340","Tuff Stuff Recycled Round Ring Binders","0.2777777778","23.9554","Profit"
"341","12-1/2 Diameter Round Wall Clock","0.275","91.1088","Profit"
"342","Barricks Conference Table, with Bottom Storage","0.275","-1802.082","Loss"
"343","GBC VeloBinder Manual Binding System","0.275","280.722","Profit"
"344","Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""","0.275","15.5608","Profit"
"345","Hon Deluxe Fabric Upholstered Stacking Chairs","0.275","-48.796","Loss"
"346","Barricks Round Table, Fully Assembled","0.2733333333","346.9396","Profit"
"347","Global Commerce Series Low-Back Swivel/Tilt Chairs","0.2714285714","41.1168","Profit"
"348","Hon 2111 Invitation Series Straight Table","0.2714285714","-115.3074","Loss"
"349","Ibico Presentation Index for Binding Systems","0.2714285714","15.0842","Profit"
"350","Belkin Premiere Surge Master II 8-outlet surge protector","0.2714285714","55.3812","Profit"
"351","Tuf-Vin Binders","0.2714285714","234.3236","Profit"
"352","Hon Round Table, with Bottom Storage","0.27","-1324.65","Loss"
"353","Avery Printable Repositionable Plastic Tabs","0.2692307692","40.65","Profit"
